iter	Poisson
0	0.6267673045
1	0.2629762246
2	-0.09091319998
3	-0.4371022908
4	-0.7768372057
5	-1.107882016
6	-1.431269492
7	-1.745514943
8	-2.05241276
9	-2.352259811
10	-2.642032992
11	-2.925601114
12	-3.202070969
13	-3.472436637
14	-3.736100025
15	-3.992564334
16	-4.241665185
17	-4.484408199
18	-4.722080756
19	-4.953750667
20	-5.178632404
21	-5.397003089
22	-5.611831774
23	-5.819699504
24	-6.021763994
25	-6.219601727
26	-6.411026009
27	-6.597915926
28	-6.777531289
29	-6.953326506
30	-7.125657587
31	-7.293224015
32	-7.456628717
33	-7.614806514
34	-7.768347093
35	-7.917463206
36	-8.062418922
37	-8.204282012
38	-8.341446401
39	-8.474983227
40	-8.603229703
41	-8.728565565
42	-8.849680552
43	-8.967452083
44	-9.082878729
45	-9.193580991
46	-9.301766597
47	-9.406631788
48	-9.508549927
49	-9.607301493
50	-9.702051408
51	-9.79496468
52	-9.884421616
53	-9.972061607
54	-10.05647547
55	-10.13813619
56	-10.21713219
57	-10.29482285
58	-10.37056382
59	-10.44344849
60	-10.51423564
61	-10.58221949
62	-10.64954907
63	-10.71509565
64	-10.77730467
65	-10.83811413
66	-10.89755928
67	-10.95506577
68	-11.00996429
69	-11.06304346
70	-11.11465966
71	-11.16562396
72	-11.21475406
73	-11.26106815
74	-11.30676795
75	-11.35132413
76	-11.39449391
77	-11.43538931
78	-11.47598403
79	-11.5150621
80	-11.55330396
81	-11.58958575
82	-11.62435242
83	-11.65873868
84	-11.69177314
85	-11.723159
86	-11.75394154
87	-11.78439737
88	-11.81334945
89	-11.84284216
90	-11.86993755
91	-11.89605589
92	-11.92237478
93	-11.94888745
94	-11.97388854
95	-11.99815998
96	-12.02114382
97	-12.04327962
98	-12.06419914
99	-12.08452435
100	-12.10589447
101	-12.12698439
102	-12.14541536
103	-12.16328354
104	-12.1827314
105	-12.20117707
106	-12.21780829
107	-12.23375506
108	-12.2501223
109	-12.26628308
110	-12.28158419
111	-12.29728879
112	-12.31066515
113	-12.32435334
114	-12.33748345
115	-12.34978529
116	-12.36151464
117	-12.37452878
118	-12.38665132
119	-12.39809081
120	-12.4096982
121	-12.42188427
122	-12.43153343
123	-12.44156638
124	-12.45253273
125	-12.46348848
126	-12.47252975
127	-12.48220974
128	-12.49189833
129	-12.50062271
130	-12.50946762
131	-12.51797205
132	-12.52589477
133	-12.53378804
134	-12.5420183
135	-12.55000737
136	-12.55695025
137	-12.5656432
138	-12.57302663
139	-12.57971592
140	-12.58680459
141	-12.594042
142	-12.60041663
143	-12.60638213
144	-12.61235053
145	-12.6191228
146	-12.62537976
147	-12.63153377
148	-12.63749811
149	-12.64299552
150	-12.64895653
151	-12.65376971
152	-12.65798787
153	-12.6627502
154	-12.66749107
155	-12.67335333
156	-12.67907944
157	-12.6835764
158	-12.68829688
159	-12.69258117
160	-12.697089
161	-12.70115657
162	-12.70620201
163	-12.71020235
164	-12.71481409
165	-12.71904565
166	-12.72203853
167	-12.72562599
168	-12.72953052
169	-12.7327961
170	-12.73780441
171	-12.74125395
172	-12.74601511
173	-12.74890909
174	-12.75237805
175	-12.75569843
176	-12.75845
177	-12.76219518
178	-12.76604728
179	-12.76867638
180	-12.77212079
181	-12.77720091
182	-12.78114999
183	-12.78305116
184	-12.78645423
185	-12.79099092
186	-12.79540264
187	-12.79903065
188	-12.80269456
189	-12.80521991
190	-12.8080201
191	-12.81156007
192	-12.81448538
193	-12.81793672
194	-12.82014506
195	-12.82201022
196	-12.82319345
197	-12.8258345
198	-12.82867143
199	-12.83096851
200	-12.83300081
201	-12.83470807
202	-12.83631343
203	-12.83886663
204	-12.84107308
205	-12.84354456
206	-12.84556207
207	-12.84825885
208	-12.84980358
209	-12.85160255
210	-12.85437206
211	-12.85669507
212	-12.85972272
213	-12.86244338
214	-12.86482796
215	-12.86720222
216	-12.86910043
217	-12.87082944
218	-12.87236128
219	-12.87519851
220	-12.87734809
221	-12.87980061
222	-12.88371438
223	-12.88546994
224	-12.88649828
225	-12.88847667
226	-12.88989457
227	-12.89136209
228	-12.89313931
229	-12.89534948
230	-12.89730241
231	-12.90025242
232	-12.90161231
233	-12.90406958
234	-12.90689951
235	-12.90936947
236	-12.91042694
237	-12.91112683
238	-12.91245142
239	-12.91455603
240	-12.91639525
241	-12.91765154
242	-12.91932387
243	-12.92207868
244	-12.92418636
245	-12.92611911
246	-12.92759126
247	-12.92954374
248	-12.92983761
249	-12.93062831
250	-12.93225719
251	-12.9341039
252	-12.93494968
253	-12.93613192
254	-12.93870271
255	-12.94010604
256	-12.942488
257	-12.94470369
258	-12.94703184
259	-12.94861897
260	-12.95090512
261	-12.95160133
262	-12.95303108
263	-12.95485761
264	-12.95617818
265	-12.95852382
266	-12.96059288
267	-12.96324449
268	-12.96473776
269	-12.96628546
270	-12.96714357
271	-12.96845881
272	-12.97000948
273	-12.97214358
274	-12.97285564
275	-12.97458471
276	-12.97714076
277	-12.978545
278	-12.97915675
279	-12.98145306
280	-12.98328609
281	-12.98406642
282	-12.98537956
283	-12.98617815
284	-12.98896075
285	-12.99080137
286	-12.99215604
287	-12.99401752
288	-12.99541723
289	-12.99679776
290	-12.99880894
291	-12.99961923
292	-13.00046653
293	-13.00133411
294	-13.00239722
295	-13.00267719
296	-13.00392901
297	-13.00508799
298	-13.00628948
299	-13.00794351
300	-13.01031853
301	-13.01162055
302	-13.01252465
303	-13.01391626
304	-13.01553586
305	-13.01701728
306	-13.01856425
307	-13.02002274
308	-13.02178356
309	-13.02341811
310	-13.02437376
311	-13.02549723
312	-13.02646835
313	-13.02879554
314	-13.02959724
315	-13.03098224
316	-13.03345595
317	-13.03424982
318	-13.03701294
319	-13.03954361
320	-13.04093494
321	-13.04173764
322	-13.04333547
323	-13.044482
324	-13.04552958
325	-13.04690614
326	-13.04810136
327	-13.04921509
328	-13.05233222
329	-13.05327418
330	-13.05424793
331	-13.05573251
332	-13.05756535
333	-13.0580076
334	-13.0590022
335	-13.05990438
336	-13.06165964
337	-13.06294087
338	-13.06312379
339	-13.06471429
340	-13.06663594
341	-13.06814436
342	-13.06933861
343	-13.07033137
344	-13.0717414
345	-13.07262406
346	-13.07449114
347	-13.07672397
348	-13.07790195
349	-13.079153
350	-13.08012384
351	-13.08098862
352	-13.08341862
353	-13.08508856
354	-13.08622344
355	-13.08740638
356	-13.08991616
357	-13.09220435
358	-13.09386777
359	-13.09510944
360	-13.09642393
361	-13.09797143
362	-13.09973604
363	-13.10122879
364	-13.102483
365	-13.10420604
366	-13.10584459
367	-13.10728439
368	-13.10831796
369	-13.11057029
370	-13.11197869
371	-13.11318515
372	-13.11379376
373	-13.11530473
374	-13.11649147
375	-13.11833025
376	-13.11967434
377	-13.1216545
378	-13.12291419
379	-13.12388598
380	-13.12611868
381	-13.12913962
382	-13.13090758
383	-13.13232285
384	-13.13345334
385	-13.13516828
386	-13.13630373
387	-13.1379345
388	-13.13988575
389	-13.14166509
390	-13.14214104
391	-13.14274371
392	-13.14451555
393	-13.1462544
394	-13.14727307
395	-13.14841345
396	-13.14988049
397	-13.15106383
398	-13.15392373
399	-13.15526606
400	-13.15663716
401	-13.15744206
402	-13.15982031
403	-13.16145229
404	-13.16318194
405	-13.16453952
406	-13.16603603
407	-13.16704707
408	-13.16828253
409	-13.17008494
410	-13.17119687
411	-13.1721153
412	-13.1736072
413	-13.17585107
414	-13.17736642
415	-13.17818654
416	-13.179939
417	-13.18107843
418	-13.18219723
419	-13.18325768
420	-13.18449
421	-13.18645543
422	-13.18733734
423	-13.18930906
424	-13.19141519
425	-13.19329925
426	-13.19483502
427	-13.19671936
428	-13.19816042
429	-13.19939984
430	-13.2001148
431	-13.20246161
432	-13.2043389
433	-13.2049619
434	-13.20653564
435	-13.20945428
436	-13.21138436
437	-13.21275856
438	-13.2140375
439	-13.21546571
440	-13.21735939
441	-13.21838169
442	-13.21902289
443	-13.22073899
444	-13.22209939
445	-13.22299446
446	-13.22413276
447	-13.22505441
448	-13.22544563
449	-13.22796899
450	-13.22974697
451	-13.23163039
452	-13.2328592
453	-13.23460743
454	-13.23669185
455	-13.23803631
456	-13.23942576
457	-13.24127428
458	-13.24210319
459	-13.24398683
460	-13.24512765
461	-13.2465605
462	-13.24756921
463	-13.24929619
464	-13.24996105
465	-13.25183085
466	-13.25286463
467	-13.25351656
468	-13.2558764
469	-13.2579688
470	-13.25921803
471	-13.26028059
472	-13.26159047
473	-13.26243519
474	-13.26525551
475	-13.26637905
476	-13.26767275
477	-13.26835174
478	-13.27015841
479	-13.27220426
480	-13.27456362
481	-13.27711252
482	-13.27851635
483	-13.27961684
484	-13.2804283
485	-13.28236255
486	-13.28359854
487	-13.2849858
488	-13.28736703
489	-13.28823543
490	-13.28875914
491	-13.29066723
492	-13.29280203
493	-13.29440092
494	-13.29545601
495	-13.29768874
496	-13.2993588
497	-13.30064136
498	-13.301766
499	-13.30259845
500	-13.30372466
501	-13.30515032
502	-13.30683739
503	-13.30806893
504	-13.30942279
505	-13.31131501
506	-13.31244783
507	-13.31433634
508	-13.31542656
509	-13.31757802
510	-13.31903707
511	-13.32060727
512	-13.32180596
513	-13.32441497
514	-13.32550438
515	-13.32716588
516	-13.32783183
517	-13.3292272
518	-13.33164314
519	-13.33377669
520	-13.33537813
521	-13.33696257
522	-13.33780559
523	-13.33888476
524	-13.34017246
525	-13.34230378
526	-13.34482542
527	-13.34563961
528	-13.34702074
529	-13.34804034
530	-13.34980527
531	-13.35106704
532	-13.35295482
533	-13.35580608
534	-13.35748321
535	-13.35953518
536	-13.36138669
537	-13.36255066
538	-13.36355762
539	-13.36463676
540	-13.36554485
541	-13.366625
542	-13.36813053
543	-13.37021558
544	-13.37316126
545	-13.37505194
546	-13.37739291
547	-13.37816776
548	-13.37893815
