iter	Passed	Remaining
0	19	17111
1	31	14363
2	48	14452
3	61	13745
4	78	13970
5	91	13579
6	105	13463
7	118	13182
8	131	13053
9	148	13177
10	165	13410
11	182	13501
12	197	13463
13	211	13384
14	226	13345
15	240	13310
16	257	13349
17	272	13373
18	290	13454
19	307	13521
20	325	13609
21	341	13622
22	359	13702
23	374	13657
24	390	13669
25	406	13667
26	424	13725
27	441	13752
28	459	13806
29	477	13844
30	497	13941
31	514	13944
32	531	13973
33	549	14001
34	569	14063
35	587	14105
36	607	14161
37	624	14159
38	644	14218
39	659	14188
40	678	14221
41	696	14228
42	717	14294
43	736	14324
44	756	14375
45	774	14380
46	799	14508
47	821	14575
48	845	14686
49	868	14757
50	891	14832
51	910	14852
52	933	14911
53	955	14961
54	978	15032
55	998	15054
56	1022	15121
57	1043	15145
58	1067	15221
59	1087	15229
60	1110	15273
61	1130	15286
62	1155	15347
63	1177	15376
64	1199	15414
65	1224	15474
66	1248	15517
67	1270	15541
68	1292	15564
69	1313	15569
70	1335	15593
71	1356	15599
72	1377	15603
73	1399	15616
74	1420	15629
75	1439	15609
76	1462	15628
77	1482	15626
78	1505	15643
79	1524	15630
80	1550	15680
81	1571	15674
82	1594	15699
83	1614	15682
84	1637	15697
85	1655	15673
86	1677	15676
87	1697	15659
88	1719	15665
89	1739	15658
90	1763	15676
91	1784	15668
92	1811	15715
93	1838	15761
94	1863	15790
95	1884	15786
96	1907	15790
97	1926	15765
98	1946	15745
99	1966	15732
100	2007	15880
101	2027	15862
102	2046	15836
103	2065	15806
104	2087	15804
105	2106	15779
106	2129	15779
107	2152	15786
108	2172	15764
109	2190	15733
110	2208	15696
111	2228	15677
112	2247	15652
113	2265	15619
114	2285	15601
115	2302	15560
116	2320	15529
117	2337	15492
118	2355	15458
119	2374	15432
120	2394	15417
121	2413	15388
122	2433	15374
123	2454	15358
124	2476	15357
125	2497	15339
126	2519	15332
127	2538	15308
128	2557	15288
129	2576	15260
130	2595	15237
131	2612	15202
132	2633	15187
133	2651	15155
134	2670	15132
135	2688	15105
136	2709	15091
137	2728	15063
138	2748	15049
139	2766	15018
140	2786	15001
141	2805	14976
142	2826	14962
143	2843	14929
144	2862	14906
145	2881	14881
146	2902	14867
147	2919	14836
148	2941	14824
149	2958	14793
150	2978	14772
151	2994	14738
152	3014	14716
153	3032	14691
